"1-molssaeavttut","1-valinnat"
"kde su","kde su"
"kde su daemon","kde su-palvelin"
"kde sátnelistu","kden sanasto"
"kde veahkkeguovddáš","kden opastekeskus"
"kde čuohpan- ja libmenhistorihkka","kden leikepöydän historia"
"kde čálihanreaidu","kden tulostustyökalu"
"kde čállinbálvá","kde-kirjoitustaustaprosessi"
"kde-kontact čoahkkáigeassu","kde kontact yhteenveto"
"kde-buktu","kde-suorituskyky"
"kde-dieđihanduogášprográmma","kde-huomautustaustaprosessi"
"kde-diimmu stivrenmoduvla","kden kellomoduuli"
"kde-duogášprográmma","kde-palvelin"
"kde-duođaštus jearahus","kden varmennepyyntö"
"kde-duođaštus jearahus - beassansátni","kden varmennepyyntö - salasana"
"kde-fierpmádatofelaš","kde-verkkovelho"
"kde-fáddágieđahalli čállit","kden teemanhallinan tekijät"
"kde-fállu","kde-valikko"
"kde-gaskaboddosaš fiila","kde-tempfile"
"kde-geahččalangiella","kden testauskieli"
"kde-govašdoaimmaheaddji","kden kuvakemuokkain"
"kde-heivehanmoduvla vuogádatdieđuid várás","kde paneelin järjestelmätietojen hallintamoduuli"
"kde-ivdnečoahkkádus","kde-värimalli"
"kde-kabálaspeallu","kde pasianssi"
"kde-lakta linux čoahku heivehandihte","etk-käyttöliittymä mpd-palvelulle"
"kde-lassemodula java-prográmmažiid várás","kden java-applet-liitännäinen"
"kde-lásegieđahalli","kden ikkunaohjelma"
"kde-máŋgaivnnát","kde-hicolor"
"kde-olggosčáliheapmi gaskkalduvvui","kden uloskirjautuminen kumottiin"
"kde-ovdánahttin","kden kehitystyökalut"
"kde-ovdánancájehanbálvá","kden kehitystietokäyttöliittymäpalvelin"
"kde-prográmma mainna iská kross-vuogádaga.","kde-sovellus kross-kehyksen testaamiseksi."
"kde-prográmma mii vuodjá krosskriptaid.","kde-sovellus kross-komentojonojen ajamiseksi"
"kde-reaidu ođasmahttit geavaheaddji heivehusfiillaid","kden työkalu asetustiedostojen päivittämiseen"
"kde-standárda","kden oletusasetukset"
"kde-standárda mas leat golbma válljeboalu","kde oletus 3lle muokkausnäppäimelle"
"kde-standárda mas leat njeallje válljenboalu","kde oletus 4lle muokkausnäppäimelle"
"kde-vuogádatmuittuhusat","järjestelmän huomautukset"
"kde-áigeavádatduogášprográmma","kde-aikavyöhyketaustaprosessi"
"kde-čujuhusgirji","kaddressbook"
"kde-čálihangieđaheapmi","kden tulostushallinta"
"kde-čállinbeavde-, panela- ja šearbmaáhtaprográmma.","sovellus kde-työpöytää, paneleita ja sovelmia varten."
"kdea xml-jorgaleaddji","kden xml-kääntäjä"
"kdea govvačájehanoassi","dng-kuvamuunnin"
"kdea peršuvnnalaš dieđuid gieđahalli","kden henkilökohtainen tietojen hallintaohjelma"
"kdeinit ii sáhttán álggahit '1'.","kdeinit ei saanut käynnistettyä ohjelmaa \ 1\."
"kdeprint fáksadiehtovuorká reaidu","kden tulostusjärjestelmän faksityökalun loki"
"kdebugdialog","kdebugdialog"
"kdialog","kdialog"
"kdontchangethehostname","kdontchangethehostname"
"kes","kes"
"keditfiletype","keditfiletype"
"keduca-doaimmaheapmi","imagemagick"
"kfm-čálli","kfmn tekijä"
"kfax","kfax"
"kfind","kfind"
"kfind-boađusfiila","kfind tulosten tiedosto"
"kformula latex-olggosfievrridansilli","kformula latex -vientisuodin"
"kformula png-olggosfievrridansilli","kformula png -vientisuodin"
"kgs","kgs"
"kgame-sieván","kgame-osoitin"
"kgame-čujuhus","kgame-osoite"
"kgeo-govadat","kgeo-kuvio"
"kget viežžanlistu","kget-latausluettelo"
"khr","khr"
"khtml-regrešuvdnageahččalanreaidu","khtmln regressiotestaustyökalu"
"khtmlindex","khtmlindex"
"kioexec","kioexec"
"kir","kir"
"kinetd-moduvlašládja","kinetd-moduulityyppi"
"kjscmd","kjscmd"
"kjobviewer","kjobviewer"
"kjumpingcube","hyppivä kuutio"
"klibloader amas meattáhus","klibloader tuntematon virhe"
"kmf","kmf"
"kmail oahpástuvvan","johdatus kmailiin"
"kmail","xkill"
"kmail ii sáhttán páhkket fiilla olggos.","kmail ei pystynyt purkamaan tiedostoa."
"kmail ii sáhttán čoahkkáipáhkket fiilla.","kmail ei voinut tiivistää tiedostoa."
"kmail-jearaldat","kmail-kysymys"
"kmail-meattáhusdieđáhus","kmail-virhe"
"kmailservice","kmailservice"
"kman","kman"
"kmixctrl","kmixctrl"
"kmultipart","kmultipart"
"knewstuff páhkka","knewstuff-paketti"
"knewstuff-riškus","knewstuff kontribuutiot"
"knews","knews"
"koconverter","koconverter"
"koffice diagrámmaráhkadeaddji","kofficen kaavionteko-ohjelma"
"koffice teakstagieđahalli","koffice-tekstinkäsittely"
"koffice-bargobáiki","worker"
"koffice-prográmma kounavail","kounavail koffice-ohjelma"
"koffice-vurken","kofficen varasto"
"kofficea dokumeantakonverterejeaddji","kofficen asiakirjamuunnin"
"kofficea presentašuvdnareaidu","koffice-esitysohjelma"
"korgplugins","korglisäosat"
"korganizer atná du .calendar fiilla gustomeahttumin. sisafievrrideapmi filtii.","kalenteritiedosto ei ole kelvollinen ical-kalenteri. tuonti epäonnistui."
"korganizer nannen","korganizer varmistus"
"kpdf","kpdftool"
"kppp-heivehus","kpppn asetukset"
"kproduct(1 2,5;2) dieđiha 2 5","kproduct(1 2.5;2) tuloksena on 2 5"
"kproduct(3;5;7) dieđiha 10 5","kproduct(3;5;7) tuloksena on 10 5"
"kproduct(árvu;árvu;...","kproduct(arvo;arvo;..."
"kpw","kpw"
"kphotoalbum sisafievrrideapmi","kphotoalbum-tuonti"
"kplato prošeaktahálddašandokumeanta","kplato-projektinhallinta-asiakirja"
"kplato - kdea plánenreaidu","kplato - kden suunnittelutyökalu"
"kplato-prošeaktahálddašan bargopáhkka","kplato-projektinhallinnan työpaketti"
"kplato-prošeaktajođiheapmedokumeanta","planner-projektinhallinta"
"kpresentera magicpoint-sisafievrridansilli","magicpoint-tuontisuodin kpresenterille"
"kpresentera openoffice.org impress-olggosfievrridansilli","openoffice.org impress -vientisuodin kpresenterille"
"kpresentera kword-silli","kpresenter kword -suodin"
"kprinter","kprinter"
"krw","krw"
"kreadconfig","kreadconfig"
"krootimage","krootimage"
"ksirc","ksirc"
"ksirc-láse","ksirc-ikkuna"
"kseg dokumeanta","kseg-asiakirja"
"ksendbugmail","ksendbugmail"
"ksirtet","ksirtet"
"ksirtet lea heivehus dovddus tetris-spealus","ksirtet on klooni hyvin tunnetusta tetris-pelistä."
"ksnapshot ii sáhttán vurke gova deike 1.","ksnapshot ei saanut tallennettua kuvaa 1."
"kspell-klienta","svn-asiakasohjelma"
"ksplash-fáddáfiillat","ksplash-teematiedostot"
"kspread krypterejuvvon dokumeanta","luo salakirjoitettu kansio"
"kspread-dokumeanta","linux perusdokumentaatio"
"kstart","kstart"
"ksystraycmd","ksystraycmd"
"ksysv","ksysv"
"kthesaurus - synoniibmalistu","kthesaurus - synonyymilista"
"kurt(2 1; 3 3; 5 4; 2 3) dieđiha 1,34423 9","kurt(2 1; 3 3; 5 4; 2 3) palauttaa arvon 1.34423 9"
"kurt(árvu; árvu;...","kurt(arvo; arvo;..."
"kurtp(2 1; 3 3; 5 4; 2 3) dieđiha -1,02 1","kurtp(2 1; 3 3; 5 4; 2 3) palauttaa arvon -1.02 1"
"kurtp(árvu; árvu;...","kurtp(arvo; arvo;..."
"kunittest-modulavuoddji","kunittest modrunner"
"kwd","kwd"
"kwm-fáddá","kwm-teema"
"kwallet bursa","kwallet-lompakko"
"kwallet ii olámuttus","kwallet-lompakko ei ole käytettävissä"
"kwin","kwin"
"kwin-geahččaleapmi","kwin-testi"
"kwin-veahkereaidu","kwinin apusovellus"
"kwin","kwin"
"kword-stiila","kword-tyyli"
"kworda ascii-olggosfievrridansilli","kword ascii -vientisuodin"
"kworda html-olggosfievrridansilli","kwordin html-vientisuodin"
"kworda kword 1.3-sisafievrridansilli","kwordin kword 1.3 -tuontisuodin"
"kworda latex-olggosfievrridansilli","kword latex-vientisuodin"
"kworda latex-sisafievrridansilli","kword latex -tuontisuodin"
"kworda ms write sisafievrridansilli","kword-ohjelman ms write -tuontisuodin"
"kworda starwriter 5.x-sisafievrridansilli","kword starwriter 5.x -tuontisuodin"
"kworda čabu teaksta olggosfievrridansilli","paljaan tekstin vientisuodin"
"kworda čabu teaksta sisafievrridansilli","kword-ohjelman vientisuodin paljasta tekstiä varten"
"kwordquiz-sátnegirji","kwordquiz-sanasto"
"kwrite xml-syntáksamerkendoarjja","kwriten xml-korostustuki"
"kwrite gáhtanhistorihkka, kspell ovttaiduvvan","kwriten peruutushistoria, kspell-integraatio"
"kwrite čálli","kwriten tekijä"
"kwrite - čállinprográmma","kwrite - tekstieditori"
"kwrite-porta kparts'ii","kwriten sovittaminen kpartsiksi"
"kwrite-porta kpartsii","kwriten sovitus kpartsiin"
"kwrite-čálli","kwrite-kehittäjä"
"kwriteconfig","kwriteconfig"
"kyd","kyd"
"kzt","kzt"
"kabálaspeallu","pasianssikorttipeli"
"kaku","kaku"
"kaleandar lea rievdaduvvon. hálidatgo vurket dan?","kalenteria on muokattu. haluatko tallentaa muutoksesi?"
"kaleandar- ja plánenprográmma","kalenteri- ja ajanhallintaohjelma"
"kaleandarformáhtta","kalenterimuoto"
"kalibrerejuvvon bietna","kalibroitu-yksityiskohtainen"
"kalibreren","kalibrointi"
"kalibreren lihkostuvvai","kalibrointi onnistui"
"kamerun","camelot"
"kantonesalaš dadjanvuohki","kantoninkiinaksi ääntämys"
"karbon1 4a eps-olggosfievrridansilli","karbon1 4 eps -vientisuodin"
"karbon1 4a gimp-olggosfievrridansilli","karbon1 4 gimp -vientisuodin"
"karbon1 4a illustrator-sisafievrridansilli","karbon1 4 illustrator -tuontisuodin"
"karbon1 4a openoffice.org draw-sisafievrridansilli","openoffice.org-piirrostuontisuodin karbon1 4lle"
"karbona kontour sisafievrridansilli","karbon kontour -tuontisuodin"
"karbona ms office-sárgun sisafievrridansilli","karbonin ms office -piirros tuontisuodin"
"karbona xfig-sisafievrridansilli","karbon xfig -tuontisuodin"
"karibialaš blues","karibiansininen"
"kartoŋga","pahvi"
"kasakstan","kazakhstan"
"katakanalaš fonehtalaš viiddidusat","katakanan foneettisia laajennuksia"
"kate syntáksamerken dulka","katen syntaksinkorostusjäsentäjä"
"kate-oassi","kate-komponentti"
"kate-stiillat","kate-tyylit"
"kategoriserejuvvon sorteren","luokitteleva lajittelu"
"kc","kc"
"kenyalaš shilling","kenian shillinki"
"kevin ottens","kevin ottens"
"kevin street","kevin street"
"kexi","kexi"
"kexi sql-stivrran lassemoduvla","kexi sql-laajennus"
"kexi prošeaktafiila","kexi-projektitiedosto"
"kexi-dv-áđat","kexi tietokantaelementit"
"kexi-prošeaktagieđahalli","prosessienhallinta"
"kexi-prošeaktagieđaheaddjit","kexin projektikäsittelijät"
"kexi-raportaáđat","kexi raporttielementit"
"kgeta viežžanlisttu","latausten hallinta"
"khaki","khaki"
"khaki 1","khaki 1"
"khaki 2","khaki 2"
"khaki 3","khaki 3"
"khmer-symbolat","khmerin symboleita"
"khoa","kho"
"khordada","khordad"
"kickoff","ponnahduslauta"
"kig-govadat","kig-kuvio"
"kiinná","chainsaw"
"kiinnágiella","kiinankielinen howto"
"kiosláva meattáhus dieđáhus","kio-palvelun virheviesti"
"kip","kip"
"kisleva","kislev"
"kivio","kioski"
"kde klassihkalaš","kde klassinen"
"klient 1 lea guođđán spealu","asiakas 1 on poistunut"
"klienta 1 lea guođđán spealu","asiakas 1 on poistunut"
"klienta ii leat vástidan áiggis","asiakas ei ole vastannut ajoissa"
"klientaáigemearri","asiakkaan aikavalvonta"
"klipper - čuohpusgirjereaidu","klipper - leikepöytätyökalu"
"kmplot fiila","kmplot-tiedosto"
"kmerlin msm koda","kmerlin msn-koodi"
"knotify-geahččaleapmi","testi ilmoitusjärjestelmälle"
"konsolla-sisačáliheapmi","konsolitilassa kirjautuminen"
"kounavail","kounavail"
"koda kvt-proseavtta oppalaš buorideamit","koodi kvt-projektista yleisiä parannuksia"
"kodak dcs","kodak dcs"
"kolab geavaheaddji beassansátni","kolab-käyttäjän salasana"
"kolab geavaheaddjinamma","kolab käyttäjänimi"
"kolab-bálvvá namma","kolab-palvelimen nimi"
"kolf vurkejuvvon speallu","tallennettu kolf-peli"
"kolfbána","kolf-rata"
"kommeanta","kommentti"
"kommanderfiila","kommander-tiedosto"
"kommando (se --commands","komennot (ks. --commands"
"kommentere merkoša","kommentoi"
"kommentára 1","kommentti 1"
"kommentárat ja ruossobájuhusat","huomautukset ja ristiviitteet"
"kompiláhtor","kääntäjä"
"kompleaksa lohku","kompleksinumero"
"komprimerenvuohki","pakkaustapa"
"konfaluhtat","eclipse ohjelmointiympäristö (ide"
"konfaluhtta 1 0","kirjekuori 1 0"
"konfaluhtta 6","kirjekuori 6"
"konfaluhtta 9","kirjekuori 9"
"konfaluhtta 1 0","kirjekuori 1 0"
"konfaluhtta a 2","kirjekuori a 2"
"konfaluhtta b 5","kirjekuori b 5"
"konfaluhtta c 5","kirjekuori c 5"
"konfaluhtta iso dl","iso dl -kirjekuori"
"konfaluhtta monarch","kirjekuori monarch"
"konfaluhtta us 1 0","us 1 0 -kirjekuori"
"konfaluhtta you 4","kirjekuori you 4"
"konfaluhttabiebmi","kirjekuorisyöttö"
"konfaluhttabiebmi - molssaeaktu","kirjekuorisyöttö - valinnat"
"konfetti","serpentiini"
"konflikta standardprográmma njuolggobálgáin","ristiriita sovelluksen näppäinyhdistelmän kanssa"
"kongo","spacepong"
"kongolaš franc","franc congolais"
"konki-stiilla čálli","konki-tyylin tekijä"
"konnector-dihkkejeaddji","d-bus-virheiden jäljittäjä"
"konqueror lassemoduvla čálihangieđaheami várás","konqueror sovelma tulostuksenhallintaan"
"konqueror lea fierpmádatlogan, fiilagieđahalli ja dokumeantačájeheaddji.","konqueror -- tiedostonhallintaohjelma, www-selain ja yleinen asiakirjannäytin."
"konqueror-lihkasteamit","konquerorin hiirieleet"
"konsolea heivehanmoduvla","järjestelmän asetukset ja seuranta"
"konsolla standárdprofiila","konsolen oletusprofiili"
"kontact dieđut","tietoja kontactista"
"kontact-rádju","kontact-sisällyttäjä"
"konteakstamolsumat","kontekstivaihtoja"
"kontodieđut","tilin tiedot"
"kontoidentitehta","tilin henkilöys"
"kontoofelaš","ohjattu tilin luonti"
"kontooidimat - aim","tilin asetukset - aim"
"kontooidimat - gadu-gadu","tilin asetukset - gadu-gadu"
"kontooidimat - groupwise","tilin asetukset - groupwise"
"kontooidimat - icq","tilin asetukset - icq"
"kontooidimat - jabber","tilin asetukset - jabber"
"kontooidimat - sms","tilin asetukset - tekstiviestit"
"kontooidimat - winpopup","tilin asetukset - winpopup"
"kontooidimat - yahoo","tilin asetukset - yahoo"
"kontoura applixgraphics-sisafievrridansilli","kontour applixgraphics -tuontisuodin"
"kontošládja","tilin tyyppi"
"kontošládja ii dorjojuvvo","tilityyppiä ei tueta."
"kontošládja báikkálaš kontu","tilityyppi paikallinen tili"
"kontošládja imap-kontu","tilityyppi imap-tili"
"kontošládja maildir-kontu","tilityyppi maildir-tili"
"kontošládja pop kontu","tilityyppi pop-tili"
"kontošládja čovdojuvvon imap kontu","tilityyppi yhteydetön imap-tili"
"kontu 1","tili 1"
"kontu ii leat laktašuvvon","tili saavuttamattomissa"
"kontu ráhkaduvvon; do ođđa uina lea 1-","tili luoto; sinun uusi uin on 1."
"konvertere dása","muunna muotoon"
"konvertere ps 1 dássái","muunna ps 1 -tasoon"
"konvertere ps 2 dássái","muunna ps 2 -tasoon"
"konvertere govaid","muunna kuvat"
"konverteremin sisafiilla postscriptii","muunnetaan syötetiedostoja postscript-muotoon"
"koos vriezen","koos vriezen"
"kopete fiilasirdin","kopeten tiedostonsiirto"
"kopete mojánarkiiva","kopete-hymiöarkisto"
"kopete, kde-čáttenprográmma","kopete, kden pikaviestin"
"kopetegovažiid ráhkadeaddji","kopeten kuvakkeen tekijä"
"koptalaš","koptilaisia merkkejä"
"koreagiella","kompozer"
"korealaš dadjanvuohki","korean ääntämys"
"kroon","kruunu"
"kross","kross"
"krosstest","krosstest"
"kryptere reivve chiasmusain ...","salaa viesti chiasmuksella..."
"kryptere reivve?","salaa viesti?"
"krypterejuvvon reive (dekrypteren ii leat vejolaš","salattu viesti (purkaminen ei ole mahdollista"
"krypterejuvvon reivve loahppa","salatun viestin loppu"
"krypterejuvvon voluma (s","salattu levynide (s"
"krypteren (sihko formáhterema","salaa (poista muotoilu"
"krypteren lassemodula 1 ii sáhttán dekrypteret dataid.","salauslaajennus \ 1\ ei osannut purkaa salausta."
"krypterenduođaštus","salaussertifikaatti"
"krypterenlassemodula '1' ii leat válbmejuvvon.","salauslaajennus \ 1\ ei alustettu."
"krypterenlassemodula '1' ii sáhte dekrypteret reivviid.","salauslaajennus \ 1\ ei osaa purkaa viestejä."
"krypterenlassemodula '1' ii sáhte nannet vuolláičállagii.","salauslaajennus \ 1\ ei voi todentaa allekirjoituksia."
"krypterenmohtor ii addán čabu teavstta ruovttoluotta.","salausmoottori ei palauttanut selvätekstistä dataa."
"krypterenmohtorat","salaustuki"
"kryptografiija","salaus"
"kugar arkiivafiila","sisältää poistetut tiedostot"
"kugar raportamálle","virheidenraportointityökalu"
"kugararkiiva","kugar-arkisto"
"kuickshow","kuickshow"
"kuickshow-dieđut","tietoja ohjelmasta kuickshow"
"kurt v. hindenburg","kurt v. hindenburg"
"kuwait","kuwaiti"
"kvalitehta, leahkkašládja, mediašládja","laatu tyyppi media tyyppi"
"kvalitehta/leaktu","laatu/nopeus"
"kwacha","kwacha"
"kwanza","kwanza"
"kyat","kyat"
"kánala 1","kanava 1"
"kánala 2","kanava 2"
"lasit ...","lisää..."
"liigeparamehterat","muut asetukset"
"l-bihta ivdni","l-palikan väri"
"l.","l."
"lak","lak"
"large(gaska; k","skew(arvoväli"
"lbp","lbp"
"lcm(1,5;2,2 5) dieđiha 4,5","lcm(1.5;2.2 5) palauttaa 4.5"
"lcm(2;3;4) dieđiha 1 2","lcm(2;3;4) palauttaa 1 2"
"lcm(6;4) dieđiha 1 2","lcm(6;4) palauttaa 1 2"
"lcm(árvu; árvu","lcm(arvo; arvo"
"ldap-beassansátni","ldap-salasana"
"ldap-bálva 1","ldap-palvelin 1"
"ldap-geavaheaddjenamma","ldap sisäänkirjautuminen"
"ldap-geavaheaddji","ldap-käyttäjä"
"ldif","ldif"
"left(\"kspread\ dieđiha 'k'","left(\"kspread\ palauttaa arvon \"k\""
"left(\"kspread\";1 0) dieđiha 'kspread'","left(\"kspread\";1 0) palauttaa arvon \"kspread\""
"left(\"hello\";2) dieđiha 'he'","left(\"heippa\";2) palauttaa arvon \"he\""
"left(teaksta;guhkkodat","left(teksti;pituus"
"lei","lei"
"len(\"kspread\ dieđiha 7","len(\"kspread\ palauttaa 7"
"len(\"hello\ dieđiha 5","len(\"hello\ palauttaa 5"
"len(teaksta","len(teksti"
"level_coupon(100 0;,1 3;2;4;,1) dieđiha 109 6,9 5","level_coupon(100 0;.1 3;2;4;.1) tuloksena on 109 6.9 5"
"lgpl v 2","lgpl v 2"
"lgpl v 3","lgpl v 3"
"lilo-heivehus","lilon asetukset"
"lilo-sajáiduhttin filtii","silon asennus epäonnistui"
"lkr","lkr"
"ln()-funkšuvdna dieđiha x árvvu lunddolaš logaritmma.","funktio ln() palauttaa xn luonnollisen logaritmin."
"ln(0) dieđiha -inf","ln(0) tuloksena on -inf"
"ln(0,8) dieđiha -0,2231435 5","ln(0.8) tuloksena on -0.2231435 5"
"ln(x","ln(x"
"lnb-heivehusat","mikropään (lnb) asetukset"
"log(0,8) dieđiha -0,0969100 1","log(0.8) tuloksena on -0.0969100 1"
"log(x","log(x"
"logl","logl"
"logluv","logluv"
"logn(1 2;1 0) dieđiha 1,0791812 5","logn(1 2;1 0) tuloksena on 1.0791812 5"
"logn(1 2;2) dieđiha 3,584962 5","logn(1 2;2) tuloksena on 3.584962 5"
"logn(árvu;vuođđolohku","logn(arvo;kanta"
"lower(\"hallo\ dieđiha 'hallo'","lower(\"hello\ palauttaa \"hello\""
"lower(\"hallo\ dieđiha 'hallo'","lower(\"hello\ palauttaa \"hello\""
"lower()-funkšuvdna jorgala streaŋgga smávva bustávaide.","funktio lower() muuttaa merkkijonon pieniksi kirjaimiksi."
"lower(teaksta","lower(teksti"
"lpc","lpc"
"lpd-gárgadasdieđut","lpd-jonon tiedot"
"lrd","lrd"
"ls-bihttá vuos","vähiten merkitsevä bitti ensin"
"ltr","ltr"
"lvm-vg s, lv s","lvm vg s, lv s"
"lyd","lyd"
"lzw","lzw"
"lasit oktavuođa joavkui","lisää yhteystieto ryhmään"
"latex syntáksamerken","latex-korostus"
"latex-olggosfievrrideapmi filtii","latex -vientivirhe"
"laiggahagat","levykerroksia"
"laiggahat 1","kerros 1"
"laiggahatnamma","tason nimi"
"lakta (duogáščoavddus","rajapinta (ajuri"
"lakta ii dorjojuvvo 1.","ei-tuettu ajuri 1"
"lakta jietnafiillaid ráhkadeapmái","käyttöliittymä sovellukselle recordmydesktop"
"laktahábmejeaddji","käyttöliittymän suunnitteluohjelma"
"laktašeamen 1 bálvái, vuorddes ...","yhdistetään palvelimelle 1. odota hetki..."
"laktašeamen dása 1","yhdistetään palvelimelle 1"
"laktašuvvon ieee 139 4-ovttadagat","liitetyt ieee 139 4 (firewire)-laitteet"
"laktašuvvon dán rájes","paikalla hetkestä"
"laktašuvvon dán rájes","paikalla alkaen"
"laktašuvvon speallárata","yhdistyneet pelaajat"
"lambdaparamehter ferte leat positiiva.","loppu- ja alkuarvojen tulee olla positiivisia."
"lanja namma","huoneen nimi"
"laos demokráhtalaš álbmotrepublihkka","laosin kansan demokraattinen tasavalta"
"large crown octavo","suuri kruunuoktaavo"
"large crown quarto","suuri crown nelitaite"
"lari","lari"
"lars dölle","lars doelle"
"lars knoll","lars knoll"
"lasi domenat","ylimääräiset verkkoalueet"
"lasi domenat maid galgá lohkat","selattavat lisäverkkoalueet"
"lasi e-boastačujuhusat","ylimääräiset sähköpostiosoitteet"
"lasi iešvuođat","valinnaiset ominaisuudet"
"lasiheamen olggožiid čoahkkádussii","lisätään kansikuva kokoelmaan"
"lasihii ntp-doarjaga","lisäsi ntp-tuen"
"lasihii bihtáid","kappaleita lisätty"
"lasit 1","lisää tapahtuma 1"
"lasit iežat gielladieđuid","lisää kielen tiedot"
"lasit mašiidna (doaimmár) šládja","lisää koneen tyyppi (prosessori"
"lasit mielddusin","lisää liitteenä"
"lasit teakstan","lisää tekstinä"
"lasit vuogádatnama","lisää alustan nimi"
"lasit konquerora girjemearkkaide","lisää konquerorin kirjanmerkkeihin"
"lasit urla sillái","lisää url-suodin"
"lasit xmms-čuojahanlistui","lisää smplayerin jonoon"
"lasit yahoo oktavuođa","lisää yahoo-yhteystieto"
"lasit avatara ...","lisää käyttäjä..."
"lasit badjelgehččomii ...","lisää ohitettaviin..."
"lasit báikepanelii","lisää sijainteihin"
"lasit dihtorvuogádaga nama","lisää käyttöjärjestelmän nimi"
"lasit dihtorvuogádaga veršuvnna","lisää käyttöjärjestelmän versio"
"lasit dán oktavuođa iežan oktavuohtalistui","lisää tämä yhteystieto yhteystietoluetteloon"
"lasit dán oktavuođa čujuhusgirjái","lisää tämä kontakti osoitekirjaan."
"lasit dán silleneavttu listui","lisää tämä suodatinehto luetteloon"
"lasit dán silli 'bija silli atnui'-fállui","lisää tämä suodin \käytä suodinta\-valikkoon"
"lasit earromearkka vuolláičállágii","lisää allekirjoituksen edelle erotin"
"lasit eará ova ...","lisää toinen käyttöjärjestelmä..."
"lasit erenoamáš čálána","lisää erikoistulostin"
"lasit erenomáš (pseudo)čálána ...","lisää erikoistulostin (pseudotulostin)..."
"lasit favorihttamáhpa","lisää suosikkikansio"
"lasit favorihttamáhpaid ...","lisää suosikkikansio..."
"lasit fiilašlája 1 várás","lisää tiedostotyyppi 1lle"
"lasit fáttá","lisää teema"
"lasit gaskasumi dása","lisää alisummat"
"lasit geavahettiin","lisää käyttäen"
"lasit girjemearkemáhpa buot rabas gilkoriid várás.","lisää kirjanmerkkikansio avoimista välilehdistä."
"lasit girjemearkkaid","lisää kirjanmerkkejä"
"lasit gáldu","lisää virtaustoisto"
"lasit identifikašuvnna","lisää tunniste"
"lasit iežat oktavuohtalistui","lisää yhteystietoluetteloon"
"lasit liigegiela","lisää varakieli"
"lasit media (fiillaid dahje urlid","lisää tiedostoja tai verkko-osoitteita"
"lasit merkoša ...","lisää tietue..."
"lasit mildusa reivii. dát leat geardduhahtti.","lisää viestiin liite. tätä voi toistaa."
"lasit molssaeavttu","lisää valinta"
"lasit máhpaid favorihtaide","lisää suosikkikansioihin"
"lasit oktavuođaid","lisää kontakteja"
"lasit ovttadaga ...","lisää laite..."
"lasit ođđa linux-čoahku vuolggahanfállui","lisää uusi linux-ydin käynnistysvalikkoon."
"lasit ođđa dovddaldaga","lisää uusi tiedostopääte"
"lasit ođđa gáldu","lisää uusi lähde"
"lasit ođđa ivnni ...","lisää uusi väri..."
"lasit ođđa kaleandaran","lisää uutena kalenterina"
"lasit ođđa skripta.","lisää uusi komentojono."
"lasit ođđasit","alusta soittolista"
"lasit palehttii","lisää palettiin"
"lasit podkasta ...","lisää podcast..."
"lasit prográmmaža ...","lisää sovelma..."
"lasit reaidoholgii","lisää työkaluriville"
"lasit sisafievrriduvvon máhpa","lisää tuotu kansio"
"lasit sisdoalu","lisää sisällysluettelo"
"lasit speallára","lisää pelaaja"
"lasit vuoigatvuođaid","lisää oikeuksia"
"lasit válljejuvvon geavaheaddji iežat oktavuohtalistui","lisää valitut käyttäjät yhteystietoluetteloosi"
"lasit 'sametime' oktavuođa","lisää sametime-yhteystieto"
"lasit 'bajilčállaga' reivii","lisää viestiin otsikko."
"lasit árvosáni","lisää arvostelu"
"lasit árvvu","lisää arvo"
"lasit čállinbeavdái","lisää työpöydälle"
"lasit čoahku ...","lisää kerneli"
"lasit čujuhusgirjjis","aseta osoitekirjasta"
"lasit čálána/luohká ...","lisää tulostin/luokka..."
"lassemodula '1' geavaha ii-heivvolaš kde-bibliotehka (2).","liitännäinen \ 1\ käyttää yhteensopimatonta kde-kirjastoa (2)."
"lassemodulat","muokkainliitännäiset"
"lassemoduvlagieđahalli","liitännäistenhallinta"
"lassereaidočuolda","laajennettu sivupalkki"
"lassesárggit","ylimääräiset tagit"
"lassi gs-molssaeavttut","ghost scriptin lisäasetukset"
"lassi java-argumeanttat","lisäargumentit javalle"
"lassi áđat","lisäelementit"
"lassáneaddji čállindárkkisteapmi","tarkentuva oikoluku"
"last.fm hilggo","last.fm estä"
"last.fm njuikes meattá","last.fm ohita"
"latex-sisafievrridansilli paramehterat","latex-tuontisuotimen parametrit"
"latex-stiila","latex-tyyli"
"latiinnalaš viiddidusaid lasáhusat","latinalaisen merkistön lisälaajennuksia"
"latin 1","latin-1"
"latin-1-lasáhusat","latin-1n täydennysosa"
"lavkičuovgatvuohta","stpkirkkaus"
"lea","on"
"lea vuojehahtti","suoritettava"
"lea eanetgo ovtta vejolaš deaivan","löytyi useampi kuin yksi mahdollinen osuma"
"lea geargandáhton","sisältää eräpäivän"
"lea hearrá","on isäntä"
"lea hálddašeaddji","on ylläpitäjä"
"lea loahpadáhton","sisältää päättymispäivän"
"lea mielddus","sisältää liitteen"
"lea veadjemeahttun gieđahallat reivviid","viestejä ei voitu käsitellä"
"lea vurken","tallentanut"
"lea váldán šearbmagova.","ruutu on kaapattu."
"lea álgindáhton","sisältää alkamispäivän"
"leahkkadássi","mustetaso"
"leahkkagoikanáigi (s","musteen kuivumisaika (sek"
"leahkkasiestin","musteen säästäminen"
"leahkkačálánbábir","inkjet paperi"
